Customer ID,Customer Name,Address,Country,Transaction Timestamp,Transaction Amount,Transaction Location,Payer Customer ID,Payee Customer ID,Risk Profile,Account Number,Account Type,Channel,Account Status,Base Balance,Currency
333,Ellen Lee,"0879 Michael Plaza Apt. 070, New Williamside, CO 10641",Canada,2024-06-11 04:29:04.071077,1297.33,Canada,333,755,Low,100000333,Savings,Online,Inactive,2424.96,EUR
353,Javier Winters,"4488 Hansen Junctions, Port Lisamouth, TN 62442",Germany,2025-04-24 20:49:04.528329,3533.98,Germany,353,57,Low,100000353,Savings,ATM,Closed,66210.67,INR
943,Bridget Phillips,"PSC 0501, Box 9268, APO AP 87867",USA,2024-10-29 17:29:04.648805,2503.92,USA,943,142,Low,100000943,Savings,Branch,Closed,65490.62,GBP
8,Kristi Vasquez,"920 Ortiz Key Suite 840, Katherineburgh, AL 12168",Canada,2025-02-14 09:15:04.434398,1263.96,Canada,8,542,Low,100000008,Savings,ATM,Active,86751.44,INR
569,Michael Mueller,"86839 Shannon Light Suite 556, Lake Tammy, PW 11092",Germany,2024-09-05 01:09:04.469735,4883.44,Germany,569,861,Low,100000569,Fixed Deposit,ATM,Active,90511.71,GBP
371,John Bean,"7354 Simpson Parks, Melissahaven, WI 31092",India,2024-10-15 11:40:04.439877,2590.26,India,371,291,High,100000371,Current,ATM,Inactive,10977.02,CAD
633,Casey Odom,"8759 Molly Cape, Mariahhaven, KS 31678",Canada,2025-01-20 19:42:04.647226,2427.3,Canada,633,88,High,100000633,Savings,Branch,Closed,51656.07,EUR
691,Mary Kennedy,"635 Lawrence Points Apt. 389, New Stevenfort, KY 79115",USA,2024-09-02 22:52:04.098756,4140.58,USA,691,479,Medium,100000691,Savings,Branch,Inactive,33044.24,USD
860,James Turner,"67592 Eric Drives Suite 959, Lake Christopher, MI 34283",India,2024-12-03 18:57:04.044781,6160.5,Unknown,860,531,High,100000860,Savings,Branch,Inactive,7505.16,EUR
755,Anthony Edwards,"2545 Webster Street Apt. 664, Scottshire, HI 26423",India,2024-07-20 14:15:04.619089,2168.52,India,755,863,Medium,100000755,Savings,Online,Inactive,14787.94,INR
134,Dave Wall,"085 Peter Cliff Suite 304, Blakefort, NC 08823",India,2025-05-16 08:23:04.129775,4320.54,India,134,542,High,100000134,Savings,ATM,Inactive,34423.9,INR
122,Shelia Leach,"89620 Megan Mountains Suite 650, Hobbsport, AK 51508",India,2024-07-07 06:57:04.345742,3706.94,India,122,501,Medium,100000122,Savings,Online,Closed,89713.04,GBP
920,Michael Suarez,"Unit 1992 Box 7284, DPO AA 49138",Canada,2024-09-17 05:30:04.051081,2803.76,Canada,920,645,High,100000920,Fixed Deposit,Mobile,Active,14871.2,USD
804,Janet Brooks,"361 Rodriguez Hollow Apt. 093, Lewischester, PA 01473",USA,2024-10-01 20:25:04.043364,116353.0,Unknown,804,754,High,100000804,Fixed Deposit,Mobile,Closed,61064.79,INR
473,Jessica Diaz,"314 Mendoza Crescent Apt. 513, Cainside, CO 24254",Canada,2024-08-16 14:05:04.014514,600.01,Canada,473,503,Medium,100000473,Fixed Deposit,Online,Inactive,5272.83,EUR
